"","lon","lat"
"1",-61.033402,-17.404373
"2",-63.180714,-17.784324
"4",-63.498631,-17.500664
"5",-63.135642,-17.8269
"6",-63.394403,-17.357356
"9",-64.7167,-21.8833
"10",-61.507,-17.2378
"11",-62.025576,-16.131911
"12",-64.052625,-13.260581
"14",-64.3667,-22.65
"15",-66.1667,-17.38414
"19",-65.4204,-16.9743
"28",-64.730705,-21.530693
"32",-68.764,-11.0209
"34",-66.099998,-10.983333
"35",-67.599998,-15.733333
"36",-67.550003,-15.816667
"37",-67.5,-16
"38",-67.727135,-16.188892
"40",-65.5,-16.5
"41",-65.366669,-16.916668
"42",-63.25,-17.333332
"43",-69.050003,-17.35
"44",-63.166668,-17.5
"45",-62.866669,-17.783333
"46",-63.816666,-17.966667
"47",-63.400002,-17.35
"48",-64.900002,-14.833333
"53",-66.0574,-11.011
"55",-68.137321,-16.497324
"56",-149.58,-17.68
"57",-149.828167,-17.538969
"58",-149.425449,-17.649911
"64",-139.558754,-8.901353
"65",-149.572692,-17.542243
"66",-140.1,-8.9
"67",-140.887313,-18.139
"68",-140.144463,-8.862005
"80",-151.441841,-16.803884
"83",-149.601202,-17.575303
"87",-139.028,-9.801
"88",-151.372,-16.84
"89",-149.804,-17.534
"90",-139.02317,-9.757107
"91",-147.666578,-23.866687
"92",-151.738071,-16.503908
"93",-134.978771,-23.126468
"95",-151.502266,-16.608558
"97",-146.355457,-16.151698
"99",-149.57,-17.535
"122",-149.512525,-17.533158
"123",-145.572889,-16.160025
"124",-138.648262,-10.490513
"126",-145.866022,-14.331087
"127",-152.25945,-16.443906
"129",-149.507818,-17.757842
"130",-149.350305,-17.749995
"131",-149.524469,-17.577921
"132",-149.60103,-17.629462
"133",-151.338787,-22.480837
"134",-140.079861,-9.404017
"135",-147.661257,-23.865902
"137",-134.973421,-23.110681
"142",-149.489994,-17.506885
"144",-169.918,-19.056
"145",-169.917912,-19.054979
"147",-157.337809,-20.161032
"148",-158.043903,-9.028624
"149",-159.76,-21.23
"150",-159.81103,-21.219059
"151",-159.74824,-21.212191
"154",-157.912676,-21.922459
"155",-159.774994,-21.234722
"156",-175.206385,-21.140068
"158",-170.697,-14.316
"159",-176.206684,-13.287063
"160",-178.142481,-14.285502
"163",-57.66,-25.26
"174",-55.88062,-25.190019
"176",-56.948957,-25.195243
"178",-61.058842,-21.906638
"180",-57.53,-25.33
"181",-57.41,-25.3
"183",-56.01,-25.45
"184",-54.61,-25.51
"185",-55.867567,-27.33609
"186",-57.6,-25.31
"187",-56.059624,-26.23771
"189",-55.7477,-22.5327
"190",-57.6033,-25.2822
"191",-57.488,-25.27
"193",-57.3524,-25.3931
"194",-54.636,-25.407
"195",-54.6586,-25.499
"196",-57.283,-25.569
"198",-56.059987,-22.88643
"199",-55.738983,-22.555412
"217",-55.215266,-24.234312
"226",-57.502188,-25.527273
